hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
신월6동,11470610,11470,126.84216114046096,37.515985373747085,양천구
신월7동,11470611,11470,126.83060531087266,37.51905079452027,양천구
신정1동,11470620,11470,126.85966565751396,37.51890869706325,양천구
신정2동,11470630,11470,126.87478871746364,37.5194032286939,양천구
신정3동,11470640,11470,126.8410954280885,37.51180329044341,양천구
화곡3동,11500560,11500,126.83430566241292,37.54399573251715,강서구
화곡4동,11500570,11500,126.85859256040077,37.53608050018333,강서구
화곡본동,11500590,11500,126.84811344518944,37.542635772107474,강서구
화곡6동,11500591,11500,126.85122975169052,37.55172180034683,강서구
화곡8동,11500593,11500,126.84877532554384,37.53426633689339,강서구
가양1동,11500603,11500,126.83469719178288,37.57165686791526,강서구
용강동,11440590,11440,126.94221311320156,37.54152999419625,마포구
대흥동,11440600,11440,126.94152597994784,37.552053322483815,마포구
염리동,11440610,11440,126.94758200437364,37.54987575053771,마포구
신수동,11440630,11440,126.9347980470556,37.54565270960968,마포구
서강동,11440655,11440,126.92602719784018,37.54672873951285,마포구
서교동,11440660,11440,126.92093784067974,37.55474432506864,마포구
합정동,11440680,11440,126.90896236646482,37.546960085753625,마포구
망원1동,11440690,11440,126.8997534996997,37.55362001265407,마포구
신정4동,11470650,11470,126.85761717556312,37.525411479927584,양천구
신정6동,11470670,11470,126.86977235769862,37.515883893266725,양천구
신정7동,11470680,11470,126.86540565002164,37.50987831468797,양천구
염창동,11500510,11500,126.8718101199864,37.554539029008225,강서구
등촌1동,11500520,11500,126.85960771313442,37.55585862609211,강서구
방배1동,11650600,11650,126.99625748803622,37.48487992592322,서초구
방배2동,11650610,11650,126.99344382591028,37.46539996871259,서초구
방배3동,11650620,11650,126.99791986162606,37.47437419914072,서초구
방배4동,11650621,11650,126.99097667124698,37.489835184939245,서초구
양재1동,11650651,11650,127.0224956870398,37.46949760980856,서초구
양재2동,11650652,11650,127.04574888856544,37.45114628839233,서초구
내곡동,11650660,11650,127.07062814160918,37.45585534760794,서초구
신사동,11680510,11680,127.02018221010984,37.52608123258473,강남구
오류1동,11530770,11530,126.84164727524184,37.49686537587967,구로구
오류2동,11530780,11530,126.83844926710196,37.485301131831626,구로구
수궁동,11530790,11530,126.82601531115785,37.498438167683105,구로구
항동,11530800,11530,126.82459717918115,37.481037633340605,구로구
가산동,11545510,11545,126.88379136072042,37.47665969748202,금천구
